"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000615027790549887,0.353193464754397,0.389,0.174,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000122827200050718,"7","PPM1M"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000988868632555955,0.310719165562096,0.347,0.149,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019748695460775,"7","WASHC3"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000186815633899289,0.3450407035049,0.769,0.431,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000373089502460271,"7","DOCK8"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000188196048966426,0.349631816366838,0.357,0.156,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000037584632939085,"7","MAN2A1"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021412655468441,0.289113974736126,0.341,0.147,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000427632142360235,"7","TRIM25"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002749660996817,0.294372040340422,0.585,0.293,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000549134797674324,"7","DNAJC3"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000360468911708844,0.285315927175738,0.67,0.351,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000719892463573733,"7","AUP1"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000620549511618603,0.332208346471559,0.864,0.518,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000123929942965351,"7","ARF5"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000635639272095495,0.34938362143398,0.448,0.211,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000126943519030191,"7","SCFD1"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000681268603156624,0.284068642429762,0.674,0.353,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000136056152736409,"7","RBCK1"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000958931925079465,0.349363962194859,0.47,0.223,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019150829475762,"7","SND1"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000186712669662809,0.488317711646258,0.284,0.116,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000372883872583596,"7","KMT5A"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000211948617684617,0.488482722810268,0.336,0.145,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000423282584377948,"7","WDR61"
